,Product_Name,Alcohol_Percent,Alcohol_Amount,Alcohol_Price
341,Glengoyne The Legacy Series Chapter Three,48,70,59.95
342,Loch Lomond 1999,48.2,70,215
343,Loch Lomond 2010,57.7,70,62.95
344,Clynelish 14 Year Old,46,20,14.95
345,Deanston 12 Year Old,46.3,70,41.95
346,AnCnoc 2009,46,70,48.95
347,Croftengea 2006,52.6,70,74.95
348,Oban Little Bay,43,70,56.95
349,Glengoyne 18 Year Old,43,70,115
350,Classic Malts Coastal Collection,44.9,60,47.75
351,Oban 14 Year Old,43,20,19.95
352,Glendronach 10 Year Old,43,100,67.95
353,Glenmorangie A Tale of Winter,46,70,74.95
354,Balblair 12 Year Old,46,70,44.45
355,Glenglassaugh 2010,57,70,90.95
356,Glenturret 12 Year Old,46,70,64.95
357,Royal Brackla 12 Year Old,46,70,59.95
358,Macduff 2011,59.2,70,59.95
359,Glenmorangie Nectar D'Or,46,70,58.95
360,Glen Garioch 15 Year Old Sherry Cask,53.7,70,99.95
361,Glenglassaugh Revival,46,70,38.45
362,Glendronach 12 Year Old Original,43,70,48.45
363,Loch Lomond Original,40,70,25.95
364,Inchmurrin 12 Year Old,46,70,39.95
365,Glencadam Origin 1825,40,70,29.95
366,Glencadam 15 Year Old,46,70,59.95
367,Glengoyne 21 Year Old,43,70,175
368,Blair Athol 2009,55.2,70,74.95
369,Fettercairn 2015 Warehouse 2,48.5,70,56.95
370,Edradour 2007,58.7,70,92.95
371,Ballechin 2003,51.3,70,175
372,Glenmorangie 12 Year Old,47.3,70,74.95
373,Glenmorangie Quinta Ruban 14 Year Old,46,70,54.95
374,Glenmorangie Allta,51.2,70,78.95
375,AnCnoc 24 Year Old,46,70,142
376,Tullibardine 2008,56.1,70,51.95
377,Deanston 2008,66.8,70,105
378,Macduff 2002,58.5,70,150
379,Oban 2007 Distillers Edition,43,70,78.95
380,Loch Lomond 18 Year Old,46,70,84.95
381,Glenmorangie Bacalta,46,70,84.95
382,Glenmorangie Tusail,46,70,110
383,Glenmorangie,46,70,110
384,Ben Nevis Coire Leis,46,70,44.95
385,Glengoyne 12 Year Old,43,70,41.95
386,Glenwyvis 2018 Batch 2,50,70,60.95
387,Clynelish 1990,43.5,70,680
388,Edradour 2012,59.6,70,84.95
389,Highland 2008,48,70,62.95
390,Ruadh Mhor 2010 (Peated Glenturret),57.6,70,59.95
391,Fettercairn 16 Year Old,46.4,70,64.95
392,Teaninich 2009 Small Batch,46,70,58.95
393,Glenturret Triple Wood,44,70,47.95
394,Aberfeldy Tasting Collection,42,60,65.95
395,Deanston 2008 Oloroso Cask,52.7,70,72.95
396,Glengoyne Triple Gift Pack,43,60,49.95
397,Cu Bocan Creation 2,46,70,58.95
398,Cu Bocan Signature,46,70,41.95
399,Loch Lomond 20 Year Old,50.2,70,160
400,Deanston 2002,55.2,70,88.95
401,Loch Lomond 14 Year Old,46,70,56.75
402,Fettercairn 12 Year Old,40,70,44.95
403,Glenmorangie Spios,46,70,74.95
404,Blair Athol 1993,58.4,70,375
405,Tomatin 14 Year Old,46,70,62.45
406,Aberfeldy 16 Year Old,40,70,63.25
407,Glengoyne 21 Year Old,43,20,56.95
408,Glenmorangie Cellar 13,43,100,275
409,Glen Garioch Founder's Reserve,48,70,37.95
410,Aberfeldy 21 Year Old,40,70,148
411,Glen Ord 28 Year Old,58.3,70,550
412,Fettercairn 16 Year Old,46.4,70,71.95
413,Balblair 1998,50.5,70,175
414,Tomatin 2013,57,70,72.95
415,Inchfad 2017,58.2,70,59.95
416,Edradour 1999,55.7,70,265
417,Blair Athol 2010,51.6,70,64.95
418,Cu Bocan Creation 4,46,70,59.95
419,Cu Bocan Creation 3,46,70,59.95
420,Edradour 1999,56.2,70,305
421,Glen Ord 12 Year Old,40,70,150
422,Glen Garioch 2011,53.9,70,62.95
423,Glenturret 10 Year Old Peat Smoked,50,70,52.45
424,Arran 10 Year Old,46,70,38.75
425,Highland Park 12 Year Old,40,70,33.45
426,Talisker 10 Year Old,45.8,70,44.95
427,Talisker 10 Year Old Dry Bag Gift Set,45.8,70,55.95
428,Talisker Port Ruighe,45.8,70,51.95
429,Scapa 2009,58.4,50,74.95
430,Ledaig 10 Year Old,46.3,70,42.75
431,Ledaig Rioja Cask Finish,46.3,70,34.45
432,Arran Sherry Cask,55.8,70,55.75
433,Jura Rum Cask,40,70,38.95
434,Talisker Storm,45.8,70,44.95
435,Highland Park 15 Year Old,44,70,79.95
436,Highland Park 18 Year Old,43,70,115
437,Jura 14 Year Old American Rye Cask,40,70,39.95
438,Highland Park Cask Strength,63.9,70,57.95
439,Tobermory 12 Year Old,46.3,70,46.95
440,Scapa Skiren,40,70,41.95
441,Arran Barrel Reserve,43,70,33.95
442,Classic Malts Coastal Collection,44.9,60,47.75
443,Talisker 44 Year Old Forests Of the Deep,49.1,70,"3,500"
444,Talisker 2012,59.7,70,89.95
445,Jura Journey,40,70,25.45
446,Scapa Glansa,40,70,43.95
447,Arran Machrie Moor Cask Strength,56.2,70,51.75
448,Arran 10 Year Old,46,70,38.75
449,Highland Park 12 Year Old,40,70,33.45
450,Talisker 10 Year Old,45.8,70,44.95
451,Talisker 10 Year Old Dry Bag Gift Set,45.8,70,55.95
452,Talisker Port Ruighe,45.8,70,51.95
453,Scapa 2009,58.4,50,74.95
454,Ledaig 10 Year Old,46.3,70,42.75
455,Ledaig Rioja Cask Finish,46.3,70,34.45
456,Arran Sherry Cask,55.8,70,55.75
457,Jura Rum Cask,40,70,38.95
458,Talisker Storm,45.8,70,44.95
459,Highland Park 15 Year Old,44,70,79.95
460,Highland Park 18 Year Old,43,70,115
461,Jura 14 Year Old American Rye Cask,40,70,39.95
462,Highland Park Cask Strength,63.9,70,57.95
463,Tobermory 12 Year Old,46.3,70,46.95
464,Scapa Skiren,40,70,41.95
465,Arran Barrel Reserve,43,70,33.95
466,Classic Malts Coastal Collection,44.9,60,47.75
467,Talisker 44 Year Old Forests Of the Deep,49.1,70,"3,500"
468,Talisker 2012,59.7,70,89.95
469,Jura Journey,40,70,25.45
470,Scapa Glansa,40,70,43.95
471,Arran Machrie Moor Cask Strength,56.2,70,51.75
472,Jura 18 Year Old,44,70,71.95
473,Jura 12 Year Old,40,70,34.95
474,Arran Quarter Cask,56.2,70,50.75
475,Tobermory 20 Year Old,46.3,70,169
476,Torabhaig Legacy Series Allt Glean,46,70,50.75
477,Highland Park 21 Year Old,46,70,225
478,Jura 10 Year Old,40,70,30.95
479,Talisker Skye,45.8,70,41.75
480,Arran Robert Burns Single Malt,43,70,33.25
481,Talisker 25 Year Old,45.8,70,465
482,Ledaig 2009,59.6,70,64.95
483,Lagg Heavily Peated New Make Spirit,63.5,20,20.45
484,Talisker 2011,57.9,70,94.95
485,Ledaig 2007,58.5,70,87.95
486,Jura 21 Year Old,46.7,70,145
487,Highland Park Dark Origins,46.8,70,89.95
488,Secret Orkney 'Skara Brae' 2005,51.5,70,86.95
489,Highland Park 1989,51.9,70,780
490,Jura 2008,50,70,62.25
491,Talisker 10 Year Old Whisky Show Package,43,70,150
492,Jura Red Wine Cask Edition,40,70,38.95
493,Tobermory 2003 Madeira Finish,54.2,70,120
494,Ledaig 2007,60.8,70,140
495,Highland Park 18 Year Old,43,70,180
496,Jura Prophecy,46,70,64.95
497,Scapa 16 Year Old,40,70,275
498,Orkney 2006,50,70,72.25
499,Highland Park 1999,51.5,70,310
500,Jura 2008,46,70,59.95
501,Unnamed Orkney 2009,46,70,46.25
502,Jura 2009,48.4,70,60.95
503,Orkney 2012,57.1,70,60.95
504,Orkney's Finest 1999,51.5,70,160
505,Talisker 25 Year Old,45.8,70,465
506,Jura 1988,50.2,70,399
507,Tobermory 1996,46.3,70,293
508,Ledaig 1997,53.4,70,235
509,Ledaig 18 Year Old,46.3,70,84.95
510,Ledaig 12 Year Old,43,70,49.95
511,Ledaig 10 Year Old,48.8,70,79.95
512,Jura Seven Wood,42,70,60.95
513,Highland Park 40 Year Old,47.5,70,"3,200"
514,Highland Park 1992,50,70,360
515,Highland Park Ragnvald,44.6,70,450
516,Highland Park Freya,51.2,70,500
517,Talisker 1985,56.1,70,"1,250"
518,Highland Park 30 Year Old,45.7,70,"1,000"
519,Highland Park Loki,48.7,70,600
520,Highland Park 12 Year Old,40,70,350
521,Isle of Jura 1965,45,70,550
522,Scapa 14 Year Old,40,100,299
523,Talisker 10 Year Old,45.8,20,17.75
524,Scapa 14 Year Old,40,70,250
525,Unnamed Orkney 2009,46,70,46.25
526,Arran 2013,46,70,54.95
527,Orkney's Finest 2007,48.4,70,68.95
528,Talisker 8 Year Old,45.8,75.7,"1,250"
529,Talisker 10 Year Old Whisky Show Package,43,70,249
530,Highland Park 25 Year Old,43,75,"2,000"
531,Isle Of Jura 10 Year Old,43,75,175
532,Isle of Jura 1966,50.6,70,"3,250"
533,Ledaig 1997,58.2,70,450
534,Scapa 10 Year Old,43,100,450
535,Isle of Jura 10 Year Old,40,70,89.95
536,Kinclaith 1967,40,70,"1,200"
537,Highland Park 18 Year Old,43,75,650
538,Isle of Jura 10 Year Old,40,75,175
539,Highland Park 1974,57,75,"1,500"
540,Tobermory 2004 Oloroso Cask,56.2,70,119
541,Scapa 12 Year Old,40,75,275
542,Scapa 12 Year Old,40,70,275
543,Tobermory 21 Year Old,46.3,70,195
544,Talisker 1964,57,75,"7,500"
545,Highland Park 50 Year Old,43.8,70,"24,000"
546,Highland Park 1955,54.6,75,"4,000"
547,Highland Park 18 Year Old,43,75,650
548,Isle Of Jura 10 Year Old,43,100,225
549,Jura 1988 Vintage Series 2,52.8,70,600
550,Talisker Pure Malt Over 8 Year Old,45.7,75,"4,500"
551,Highland Park 1979,51.7,70,700
552,Highland Park 1972,55.1,75,"1,350"
553,Talisker 1956,54.4,75,"7,000"
554,Highland Park 1956,43,75,"3,000"
555,SMWS 4.1 (Highland Park),60.2,75,"4,000"
556,Highland Park 1966,43,75,"4,000"
557,Ledaig-Tobermory 1972,40,75,"1,100"
558,Highland Park 1996,48.3,70,265
559,Talisker 12 Year Old,43.4,75,"1,800"
560,Talisker 1978,50.7,70,"3,100"
561,SMWS 4.7 (Highland Park),60.5,75,"1,000"
562,Highland Park 2003,52.5,70,125
563,Single Orkney Malt 2007,58,70,90.95
564,Highland Park 50 Year Old,42.5,70,"23,250"
565,Talisker 1967,57,75,"6,750"
566,SMWS 4.65 (Highland Park),57.6,50,"1,000"
567,Highland Park 12 Year Old,43,100,350
568,Lagavulin 16 Year Old,43,70,81.75
569,Ardbeg Ardcore & Uigeadail Duo,50.2,140,180
570,Bunnahabhain 12 Year Old,46.3,70,44.95
571,Ardbeg Uigeadail,54.2,70,62.75
